EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-5-27,73,62,51,39,36,32,54,39,23,30.25,30.19,30.12,10,10,10,12,4,20,0,0,,264
2012-5-27,81,73,64,70,64,58,100,76,52,30.2,30.11,30.01,10,8,2,7,2,,0.06,4,Rain,94
2011-5-27,83,74,65,69,65,63,93,76,58,30.01,29.96,29.9,10,5,2,9,5,,0,0,,130
2010-5-27,83,69,55,65,59,50,93,74,55,29.92,29.84,29.72,10,10,8,18,6,28,0.06,5,Rain,57
2009-5-27,65,59,53,57,52,40,93,76,59,30.18,30.03,29.92,10,7,2,10,2,15,0,7,,57
2008-5-27,83,72,60,68,63,48,93,76,58,29.99,29.86,29.77,10,6,1,22,7,45,0.23,4,Rain,249
2007-5-27,86,76,66,63,54,47,73,53,32,30.17,30.11,30.06,10,9,5,14,3,23,0.03,1,Rain,89
2006-5-27,82,72,64,65,62,58,100,79,45,29.97,29.72,29.6,10,4,0,10,3,18,0.01,3,Fog,19
2005-5-27,79,68,56,57,54,52,93,68,43,29.83,29.74,29.68,10,10,10,16,4,24,T,3,,257
2004-5-27,75,64,55,62,59,56,100,86,59,29.75,29.71,29.68,10,8,1,9,5,17,0.72,5,Rain,314
,,,,,,,,,,,,,,,,,,,,,,
Average,79,68.9,58.9,61.5,56.8,50.4,89.2,70.3,48.4,30.027,29.927,29.846,10,7.7,4.1,12.7,4.1,23.75,0.1233333333,3.2,,153
,,,,,,,,,,,,,,,,,,,,,,
intercept,1003.9,,,,,-274.4,,,,,,,,,,-816.1,,,-10212.4,-1177.9,,
10225.7,79308.1,0,0,0,0,-13829.76,0,0,0,0,0,0,0,0,0,-10364.47,0,0,-1259.5293333333,-3769.28,0,0
,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,
-1161.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
predicted,,,,,,,,,,,,,,,,,,,,,,
59149.3606666667,,,,,,,,,,,,,,,,,,,,,,
